"","heart_rate","steering","steeringVelocity","turningCurvature","speedInMetresPerSecond","prev_steering_vel","delta_steering_vel","danger"
"431",100,0.00312375463545322,0.00156311423052102,-9.14287229534239e-05,23.84938621521,0.00156311423052102,0,FALSE
"432",100,0.00319731049239635,0.000945669366046786,-0.0001036528556142,23.8648376464844,0.00156311423052102,-0.000617444864474234,FALSE
"433",100,0.00339892716147006,0.00403124187141657,-0.000113008987682406,23.8795623779297,0.000945669366046786,0.00308557250536978,FALSE
"434",100,0.00374477496370673,0.00691200885921717,-0.000120519274787512,23.8929576873779,0.00403124187141657,0.0028807669878006,FALSE
"435",100,0.00405358849093318,0.00616806419566274,-0.000133612280478701,23.9044227600098,0.00691200885921717,-0.00074394466355443,FALSE
"436",100,0.00425504613667727,0.00616806419566274,-0.00014584393647965,23.9141120910645,0.00616806419566274,0,FALSE
"437",100,0.00428884057328105,0.00235435063950717,-0.000142220131237991,23.9219245910645,0.00616806419566274,-0.00381371355615557,FALSE
"438",100,0.00428884057328105,0.00235435063950717,-0.000142412653076462,23.9276275634766,0.00235435063950717,0,FALSE
"439",100,0.00428884057328105,0,-0.000148353137774393,23.9313716888428,0.00235435063950717,-0.00235435063950717,FALSE
"440",100,0.00425504613667727,-0.000675381626933813,-0.000150535197462887,23.9328155517578,0,-0.000675381626933813,FALSE
"441",100,0.00421008327975869,-0.000898976868484169,-0.000149856961797923,23.9320182800293,-0.000675381626933813,-0.000223595241550356,FALSE
"442",100,0.00415403535589576,-0.00112035998608917,-0.000148121907841414,23.9289836883545,-0.000898976868484169,-0.000221383117605001,FALSE
"443",100,0.00405358849093318,-0.00112035998608917,-0.000151415617438033,23.9232349395752,-0.00112035998608917,0,FALSE
"444",100,0.00388745032250881,-0.00266994978301227,-0.000153673900058493,23.9146213531494,-0.00112035998608917,-0.0015495897969231,FALSE
"445",100,0.00375570612959564,-0.00263105984777212,-0.000147427184856497,23.9036178588867,-0.00266994978301227,3.88899352401499e-05,FALSE
"446",100,0.0036575912963599,-0.00195921957492828,-0.000140072224894539,23.8910160064697,-0.00263105984777212,0.00067184027284384,FALSE
"447",100,0.00361417792737484,-0.00086768192704767,-0.000141258758958429,23.8771820068359,-0.00195921957492828,0.00109153764788061,FALSE
"448",100,0.00358169665560126,-0.00086768192704767,-0.000139603042043746,23.8627033233643,-0.00086768192704767,0,FALSE
"449",100,0.00358169665560126,-0.000325187313137576,-0.000137887371238321,23.8478183746338,-0.00086768192704767,0.000542494613910094,FALSE
"450",100,0.00358169665560126,0,-0.000136193601065315,23.8326568603516,-0.000325187313137576,0.000325187313137576,FALSE
"451",100,0.00354928313754499,-0.000647787761408836,-0.000134619156597182,23.8172569274902,0,-0.000647787761408836,FALSE
